n,exact,token_f1,lexical_drift,evidence_route_rate,method,min_count,policy_entries
15426,0.016725009723842863,0.42344365586055477,0.5132892519123557,0.5394139764034747,class_policy,1,18
15426,0.017762219629197457,0.42887863237037854,0.5088811098145988,0.5331907169713471,bucket_policy,1,50
15426,0.016725009723842863,0.42344365586055477,0.5132892519123557,0.5394139764034747,class_policy,3,18
15426,0.017762219629197457,0.42887863237037854,0.5088811098145988,0.5331907169713471,bucket_policy,3,50
15426,0.016725009723842863,0.42344365586055477,0.5132892519123557,0.5394139764034747,class_policy,5,18
15426,0.017632568391028135,0.42857152000952853,0.5075845974329055,0.504213665240503,bucket_policy,5,50
15426,0.016725009723842863,0.42344365586055477,0.5132892519123557,0.5394139764034747,class_policy,8,18
15426,0.01724361467652016,0.4267829611832511,0.505380526384027,0.4419810709192273,bucket_policy,8,50
15426,0.016725009723842863,0.42344365586055477,0.5132892519123557,0.5394139764034747,class_policy,12,18
15426,0.017049137819266175,0.4241409250273222,0.4896927265655387,0.279463243873979,bucket_policy,12,50
15426,0.016854660962012186,0.42360283435317203,0.505769480098535,0.4367950213924543,class_policy,20,18
15426,0.017956696486451446,0.4160038212873599,0.48295086218073385,0.0,bucket_policy,20,50
