method,n,exact_match,token_f1,hallucination_proxy_rate,complexity_accuracy
global_majority,15955,0.011532,0.092164,0.0,"{""1"": 0.033478893740902474, ""2"": 0.0, ""3"": 0.0}"
class_majority,15955,0.118082,0.582405,0.07916,"{""1"": 0.22689228529839883, ""2"": 0.06436869167777566, ""3"": 0.057411674347158215}"
complexity_class_majority,15955,0.118082,0.582405,0.07916,"{""1"": 0.22689228529839883, ""2"": 0.06436869167777566, ""3"": 0.057411674347158215}"
lexical_retrieval,15955,0.067064,0.58761,0.036791,"{""1"": 0.11935953420669577, ""2"": 0.034850504665777944, ""3"": 0.04435483870967742}"
atomic_oracle,15955,0.0,0.156576,0.026387,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0}"
template_oracle,15955,0.100533,0.655719,0.015606,"{""1"": 0.17667394468704511, ""2"": 0.05770329461055037, ""3"": 0.06336405529953917}"
atomic_retrieval,15955,0.0,0.09287,0.118207,"{""1"": 0.0, ""2"": 0.0, ""3"": 0.0}"
medheval_tree_lite,15955,0.041116,0.252201,0.100909,"{""1"": 0.11935953420669577, ""2"": 0.0, ""3"": 0.0}"
medheval_tree_template,15955,0.067816,0.577266,0.075149,"{""1"": 0.11935953420669577, ""2"": 0.038468863073700246, ""3"": 0.043010752688172046}"
hybrid_class_lexical_exact_tau_0.9,15955,0.067816,0.584126,0.037731,"{""1"": 0.11990538573508006, ""2"": 0.034469624833365076, ""3"": 0.04646697388632873}"
hybrid_class_lexical_f1_tau_0.55,15955,0.067001,0.587525,0.036979,"{""1"": 0.1195414847161572, ""2"": 0.034850504665777944, ""3"": 0.043970814132104456}"
